Category,Question,Answer,,
HISTORY,Who became the Nawab of Bengal after the Battle of Giria in 1740?,Alivardi Khan,,
HISTORY,What was the outcome of the Battle of Plassey in 1757?,Beginning of British rule in Bengal,,
HISTORY,Which company gained control of Bengal after 1765?,British East India Company,,
HISTORY,What did the Treaty of Allahabad in 1765 grant the British?,Diwani rights over Bengal,,
HISTORY,Who was the last independent Nawab of Bengal?,Siraj ud-Daulah,,
HISTORY,When was Dhaka College established?,1841,,
HISTORY,What did the Permanent Settlement Act of 1793 establish?,Zamindari system in Bengal,,
HISTORY,When did the Sepoy Mutiny take place?,1857,,
HISTORY,When was the University of Calcutta established?,1857,,
HISTORY,What movement emerged in Bengal in 1905?,Swadeshi Movement,,
HISTORY,What year was the All India Muslim League founded?,1906,,
HISTORY,Where was the Muslim League founded?,Dhaka,,
HISTORY,What was the objective of the Lahore Resolution in 1940?,A separate Muslim homeland,,
HISTORY,Who was the main architect of the Lahore Resolution?,A. K. Fazlul Huq,,
HISTORY,When was the partition of Bengal reversed?,1911,,
HISTORY,When did East Bengal become East Pakistan?,1947,,
HISTORY,What was the language movement about?,Recognition of Bengali as a state language,,
HISTORY,When did the Language Movement peak?,1952,,
HISTORY,Who were the martyrs of the Language Movement?,"Salam, Rafiq, Barkat, Jabbar",,
HISTORY,What year did Pakistan impose Urdu as the only state language?,1948,,
HISTORY,When did the Liberation War of Bangladesh begin?,"March 26, 1971",,
HISTORY,What was Operation Searchlight?,Pakistani military crackdown in East Pakistan,,
HISTORY,Who declared Bangladesh's independence?,Sheikh Mujibur Rahman,,
HISTORY,When did the war of liberation end?,"December 16, 1971",,
HISTORY,What was the role of Mukti Bahini?,Bangladeshi guerrilla resistance movement,,
HISTORY,Who led the military coup in 1975?,"Khaled Mosharraf, followed by Ziaur Rahman",,
HISTORY,What was the main demand of the 1952 Language Movement?,Recognition of Bengali as a state language,,
HISTORY,What is the significance of the Shaheed Minar?,Memorial for Language Movement martyrs,,
HISTORY,When was the Battle of Plassey fought?,1757,,
HISTORY,What was the significance of the Battle of Buxar?,Secured British rule over Bengal,,
HISTORY,Who led the Fakir-Sannyasi Rebellion?,Majnu Shah,,
HISTORY,What was the Indigo Revolt?,Farmers' protest against forced indigo farming,,
HISTORY,When did the partition of Bengal first occur?,1905,,
HISTORY,Who annulled the partition of Bengal in 1911?,Lord Hardinge,,
HISTORY,What was the Bengal Famine of 1943?,A deadly famine under British rule,,
HISTORY,When was the Lahore Resolution passed?,1940,,
HISTORY,What day is observed as Victory Day in Bangladesh?,Dec-16,,
HISTORY,What is the date of Language Martyrs Day?,Feb-21,,
SPORTS,What is the most popular sport in Bangladesh?,Cricket,,
SPORTS,Who is a famous Bangladeshi cricketer known for all-rounder skills?,Shakib Al Hasan,,
SPORTS,When did Bangladesh gain Test status in cricket?,2000,,
SPORTS,Which city hosted the 2011 Cricket World Cup matches in Bangladesh?,Dhaka,,
SPORTS,What is the name of Bangladesh's T20 franchise league?,Bangladesh Premier League,,
SPORTS,Which Bangladeshi shooter won gold in Commonwealth Games?,Abdullah Hel Baki,,
SPORTS,What is the national sport of Bangladesh?,Kabaddi,,
SPORTS,Which stadium is known as the home of cricket in Bangladesh?,Sher-e-Bangla National Cricket Stadium,,
SPORTS,When did Bangladesh win the SAFF Championship?,2003,,
SPORTS,Which game is popular in rural Bangladesh besides cricket?,Ha-du-du (Kabaddi),,
