,Question,Answer
97,Which Bangladeshi shooter won gold in Commonwealth Games?,Abdullah Hel Baki
98,Which stadium is known as the home of cricket in Bangladesh?,Sher-e-Bangla National Cricket Stadium
99,Which game is popular in rural Bangladesh besides cricket?,Ha-du-du (Kabaddi)
100,When was the Battle of Plassey fought?,1757
101,What was the significance of the Battle of Buxar?,Secured British rule over Bengal
102,Who led the Fakir-Sannyasi Rebellion?,Majnu Shah
103,When did the partition of Bengal first occur?,1905
104,Who annulled the partition of Bengal in 1911?,Lord Hardinge
105,What was the Bengal Famine of 1943?,A deadly famine under British rule
106,When was the Lahore Resolution passed?,1940
107,What day is observed as Victory Day in Bangladesh?,Dec-16
108,What is the date of Language Martyrs Day?,Feb-21
